Nome;Codigo;Rio;Inundacao;Alerta;Atencao;Latitude;Longitude
ALDEIA DOS PATOS;13439000;ACRE;;;;-10,92;-69,92
ASSIS BRASIL;13450000;ACRE;1250;1130;1000;-10,94;-69,56
BRASILEIA;13470000;ACRE;1140;980;880;-11,01;-68,74
COLONIA DOLORES;13540000;XAPURI;1400;1320;1150;-10,56;-68,7
XAPURI;13550000;ACRE;1340;1250;1150;-10,65;-68,5
CAPIXABA;13568000;ACRE;1470;1390;1320;-10,38;-67,93
ESPALHA;13572000;DO ROLA;1450;1400;1300;-10;-68,52
RIO ROLA;13578000;DO ROLA;1500;1450;1350;-10,05;-67,96
RIO BRANCO;13600002;ACRE;1400;1350;1250;-9,97;-67,8
PORTO VELHO;15400000;MADEIRA;1700;1500;1400;-8,74 ;-93,91
